1.01e+18	0.01	0.00	67.49	49.78	3.56	29.81	1.42	73.09	403.43	79.89	3498.41	6.65	320.60	107	0.17	100000	37.6	3.5
1.01e+18	0.03	0.01	30.64	13.37	0.86	8.57	0.52	18.28	90.06	17.63	1004.10	3.25	141.23	70	0.14	120000	37.0	3.5
1.01e+18	0.03	0.01	34.98	16.67	1.10	10.48	0.62	22.74	114.20	22.39	1236.90	3.58	161.79	75	0.15	120000	37.1	3.5
1.01e+18	0.02	0.01	39.78	20.64	1.38	12.80	0.73	28.27	144.64	28.38	1522.09	3.98	185.28	80	0.15	120000	37.2	3.5
1.01e+18	0.02	0.00	45.06	25.37	1.73	15.64	0.87	35.10	182.97	35.94	1872.82	4.47	212.17	86	0.16	120000	37.3	3.5
1.01e+18	0.02	0.00	50.89	30.97	2.15	19.09	1.03	43.55	231.28	45.49	2304.06	5.07	243.15	93	0.16	120000	37.4	3.5
1.01e+18	0.01	0.00	57.31	37.53	2.64	23.30	1.22	53.98	292.04	57.50	2833.29	5.81	278.83	100	0.16	120000	37.5	3.5
1.01e+18	0.01	0.00	64.42	45.20	3.23	28.41	1.44	66.84	368.53	72.64	3482.26	6.72	320.03	107	0.17	120000	37.6	3.5
1.01e+18	0.03	0.01	29.39	12.80	0.83	7.86	0.51	16.27	73.78	14.45	985.68	3.24	140.27	69	0.14	140000	37.0	3.5
1.01e+18	0.03	0.01	33.58	15.78	1.04	9.63	0.60	20.26	93.43	18.31	1214.44	3.56	160.72	74	0.15	140000	37.1	3.5
1.01e+18	0.02	0.01	38.18	19.36	1.30	11.79	0.71	25.22	118.30	23.20	1495.26	3.96	184.11	80	0.15	140000	37.2	3.5
1.01e+18	0.02	0.00	43.24	23.64	1.61	14.44	0.85	31.37	149.67	29.37	1840.02	4.45	210.92	86	0.15	140000	37.3	3.5
1.01e+18	0.02	0.00	48.80	28.72	1.99	17.67	1.00	38.99	189.24	37.17	2262.41	5.05	241.68	92	0.16	140000	37.4	3.5
1.01e+18	0.01	0.00	54.91	34.67	2.44	21.61	1.19	48.41	239.08	46.99	2778.45	5.79	277.02	99	0.16	140000	37.5	3.5
1.01e+18	0.01	0.00	61.67	41.65	2.97	26.41	1.41	60.06	301.91	59.38	3419.46	6.70	318.23	107	0.17	140000	37.6	3.5
1.01e+18	0.05	0.02	23.10	11.06	0.74	4.85	0.37	9.28	38.55	7.53	645.62	2.78	110.12	58	0.14	160000	36.8	3.5
1.01e+18	0.04	0.01	26.74	13.55	0.91	5.93	0.43	11.56	48.67	9.52	795.73	2.99	126.32	62	0.14	160000	36.9	3.5
1.01e+18	0.04	0.01	30.85	16.60	1.13	7.26	0.51	14.40	61.50	12.03	981.34	3.26	144.96	66	0.14	160000	37.0	3.5
1.01e+18	0.03	0.01	35.42	20.29	1.39	8.88	0.60	17.93	77.68	15.21	1208.61	3.59	166.17	71	0.15	160000	37.1	3.5
1.01e+18	0.03	0.01	40.51	24.74	1.72	10.88	0.71	22.34	98.18	19.24	1488.36	3.98	190.48	76	0.15	160000	37.2	3.5
1.01e+18	0.02	0.01	46.13	30.03	2.11	13.33	0.84	27.81	124.05	24.33	1831.14	4.47	218.29	82	0.16	160000	37.3	3.5
1.01e+18	0.02	0.00	52.26	36.23	2.57	16.32	0.99	34.59	156.61	30.74	2249.22	5.07	249.79	89	0.16	160000	37.4	3.5
1.01e+18	0.02	0.00	59.03	43.47	3.12	19.96	1.18	42.95	197.50	38.79	2760.96	5.80	286.06	95	0.16	160000	37.5	3.5
1.01e+18	0.01	0.00	66.50	51.88	3.76	24.42	1.39	53.34	249.21	48.99	3391.05	6.70	327.89	103	0.17	160000	37.6	3.5
1.01e+18	0.07	0.02	20.13	10.17	0.70	3.88	0.33	6.87	27.36	5.33	520.35	2.60	97.17	54	0.14	180000	36.7	3.5
1.01e+18	0.06	0.02	23.44	12.33	0.85	4.74	0.39	8.56	34.47	6.73	643.49	2.78	111.90	57	0.14	180000	36.8	3.5
1.01e+18	0.05	0.02	27.21	14.99	1.03	5.78	0.46	10.67	43.44	8.49	794.98	3.01	128.78	60	0.14	180000	36.9	3.5
1.01e+18	0.04	0.01	31.46	18.22	1.26	7.05	0.54	13.26	54.69	10.69	979.76	3.27	147.95	64	0.15	180000	37.0	3.5
1.01e+18	0.04	0.01	36.23	22.16	1.55	8.62	0.63	16.52	69.00	13.51	1207.38	3.60	169.93	69	0.15	180000	37.1	3.5
1.01e+18	0.03	0.01	41.57	26.90	1.89	10.53	0.75	20.56	87.00	17.04	1486.89	4.00	195.08	74	0.15	180000	37.2	3.5
1.01e+18	0.03	0.01	47.49	32.58	2.31	12.88	0.88	25.61	109.77	21.52	1830.90	4.48	223.91	79	0.16	180000	37.3	3.5
1.01e+18	0.02	0.01	54.03	39.31	2.81	15.74	1.04	31.84	138.37	27.15	2250.42	5.08	256.85	85	0.16	180000	37.4	3.5
1.01e+18	0.02	0.00	61.30	47.25	3.41	19.23	1.22	39.56	174.28	34.22	2766.16	5.81	294.96	92	0.17	180000	37.5	3.5
1.01e+18	0.02	0.00	69.31	56.52	4.12	23.50	1.44	49.13	219.61	43.14	3399.72	6.72	338.63	99	0.17	180000	37.6	3.5
1.02e+18	0.03	0.01	23.05	9.83	0.62	4.13	0.23	8.33	32.44	6.24	449.42	2.37	85.95	58	0.14	60000	36.6	3.5
1.02e+18	0.02	0.01	26.48	12.37	0.80	5.11	0.27	10.63	41.64	8.02	551.09	2.50	98.12	62	0.15	60000	36.7	3.5
